Query Num	Precision	Recall	F-measure	Average Precision
303	0.143	0.55642	0.227526	0.330226
307	0.025	0.166667	0.0434783	0.00762487
310	0.153	0.241325	0.187271	0.0662052
314	0.063	0.12	0.082623	0.0145923
322	0.203	0.226816	0.214248	0.0648355
325	0.127	0.355742	0.187178	0.251912
330	0.109	0.389286	0.170312	0.127447
336	0.131	0.337629	0.188761	0.193805
341	0.167	0.471751	0.246677	0.115015
344	0.281	0.265595	0.273081	0.144331
345	0.261	0.495256	0.341847	0.243692
347	0.164	0.417303	0.235463	0.169211
353	0.087	0.259701	0.130337	0.0764765
354	0.22	0.279543	0.246223	0.120539
362	0.164	0.49848	0.246802	0.162596
363	0.145	0.389785	0.21137	0.193835
367	0.073	0.191601	0.10572	0.0409593
372	0.263	0.560768	0.358067	0.386502
374	0.226	0.624309	0.331865	0.475108
375	0.15	0.447761	0.224719	0.262662
378	0.19	0.516304	0.277778	0.205866
383	0.128	0.27409	0.174506	0.0693835
389	0.093	0.184158	0.123588	0.033477
393	0.089	0.203661	0.123869	0.021755
394	0.184	0.320558	0.233799	0.109325
397	0.166	0.294326	0.212276	0.100613
399	0.089	0.378723	0.14413	0.0872688
401	0.128	0.211221	0.159402	0.0510447
404	0.164	0.368539	0.22699	0.128835
408	0.329	0.618421	0.429504	0.428807
409	0.12	0.27027	0.166205	0.0650048
416	0.038	0.383838	0.0691538	0.0234705
419	0.195	0.459906	0.273876	0.340384
426	0.201	0.337815	0.252038	0.174037
427	0.082	0.219251	0.11936	0.0255994
433	0.089	0.172147	0.117337	0.0335669
435	0.047	0.259668	0.0795936	0.0574713
436	0.117	0.565217	0.193869	0.0974654
439	0.147	0.403846	0.215543	0.11579
443	0.081	0.301115	0.12766	0.0983472
448	0.256	0.410256	0.315271	0.151357
622	0.131	0.282328	0.178962	0.0698809
625	0.156	0.258278	0.194514	0.0900731
638	0.154	0.241379	0.188034	0.0445955
639	0.142	0.246101	0.180089	0.0631187
648	0.09	0.165441	0.11658	0.0323558
650	0.083	0.186517	0.114879	0.0322663
651	0.156	0.267123	0.19697	0.0845798
658	0.136	0.419753	0.205438	0.20297
689	0.118	0.217712	0.153048	0.0464706

MAP : 0.130655
