Query Num	Precision	Recall	F-measure	Average Precision
303	0.136	0.529183	0.216388	0.477469
307	0.018	0.12	0.0313043	0.0732402
310	0.092	0.14511	0.112607	0.366055
314	0.103	0.19619	0.135082	0.153958
322	0.093	0.103911	0.098153	0.325495
325	0.085	0.238095	0.125276	0.176913
330	0.105	0.375	0.164063	0.321173
336	0.08	0.206186	0.115274	0.295758
341	0.164	0.463277	0.242245	0.478816
344	0.124	0.117202	0.120505	0.317716
345	0.136	0.258065	0.178127	0.340724
347	0.084	0.21374	0.120603	0.217079
353	0.048	0.143284	0.0719101	0.0686445
354	0.114	0.144854	0.127588	0.272424
362	0.111	0.337386	0.167043	0.389146
363	0.133	0.357527	0.193878	0.371967
367	0.036	0.0944882	0.0521361	0.162256
372	0.101	0.215352	0.137509	0.620946
374	0.17	0.469613	0.249633	0.361948
375	0.146	0.435821	0.218727	0.540905
378	0.099	0.269022	0.144737	0.320531
383	0.126	0.269807	0.171779	0.312384
389	0.133	0.263366	0.176744	0.371294
393	0.082	0.187643	0.114127	0.230021
394	0.086	0.149826	0.109276	0.172206

MAP : 0.309563
