Query Num	Precision	Recall	F-measure	Average Precision
303	0.095	0.36965	0.151154	0.762592
307	0.016	0.106667	0.0278261	0.0702173
310	0.131	0.206625	0.160343	0.386527
314	0.045	0.0857143	0.0590164	0.342982
322	0.214	0.239106	0.225858	0.489498
325	0.097	0.271709	0.142962	0.817958
330	0.124	0.442857	0.19375	0.415429
336	0.124	0.319588	0.178674	0.731439
341	0.181	0.511299	0.267356	0.527463
344	0.236	0.223062	0.229349	0.590033
345	0.248	0.470588	0.32482	0.594734
347	0.07	0.178117	0.100503	0.443503
353	0.028	0.0835821	0.0419476	0.148226
354	0.171	0.217281	0.191382	0.599636
362	0.136	0.413374	0.204665	0.535242
363	0.097	0.260753	0.141399	0.697872
367	0.047	0.12336	0.0680666	0.168581
372	0.144	0.307036	0.196052	0.616826
374	0.199	0.549724	0.292217	0.810654
375	0.123	0.367164	0.18427	0.706843
378	0.192	0.521739	0.280702	0.574674
383	0.195	0.417559	0.265849	0.593461
389	0.052	0.10297	0.069103	0.299346
393	0.059	0.135011	0.0821155	0.224668
394	0.258	0.449477	0.327827	0.624123

MAP : 0.510901
