Query Num	Precision	Recall	F-measure	Average Precision
303	0.143	0.55642	0.227526	0.593483
307	0.025	0.166667	0.0434783	0.0457492
310	0.153	0.241325	0.187271	0.274341
314	0.063	0.12	0.082623	0.121603
322	0.203	0.226816	0.214248	0.285851
325	0.127	0.355742	0.187178	0.708132
330	0.109	0.389286	0.170312	0.327387
336	0.131	0.337629	0.188761	0.574017
341	0.167	0.471751	0.246677	0.243805
344	0.281	0.265595	0.273081	0.543423
345	0.261	0.495256	0.341847	0.492053
347	0.164	0.417303	0.235463	0.405488
353	0.087	0.259701	0.130337	0.294478
354	0.22	0.279543	0.246223	0.4312
362	0.164	0.49848	0.246802	0.326182
363	0.145	0.389785	0.21137	0.497288
367	0.073	0.191601	0.10572	0.213774
372	0.263	0.560768	0.358067	0.689237
374	0.226	0.624309	0.331865	0.761014
375	0.15	0.447761	0.224719	0.586611
378	0.19	0.516304	0.277778	0.398729
383	0.128	0.27409	0.174506	0.253141
389	0.093	0.184158	0.123588	0.181784
393	0.089	0.203661	0.123869	0.106819
394	0.184	0.320558	0.233799	0.341048

MAP : 0.387866
